Code,1100450318,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6161102009248 ,IMPERIAL LEATHER EXTRA 125G 3+1,22,PC,208,259,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6008879005007 ,IMPERIAL LEATHER EXTRA 175G,22,PC,104,119,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102004205 ,IMPERIAL LEATHER EXTRA 125G,22,PC,70,84,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102009231 ,IMPERIAL LEATHER 75G 3+1,22,PC,130,149,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102006780 ,VENUS NAURISHING 100ML,22,PC,64,74,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102001082 ,VENUS NAURISHING 200ML,22,PC,127,130,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6008879034656 ,VENUS SMOOTHING 100ML,22,PC,64,74,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102001075 ,VENUS INTENSIVE LOTION 100ML,22,PC,64,74,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102002508 ,VENUS CURL ACTIVATOR 275G,22,PC,149,169,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102002379 ,VENUS HAIR FOOD  210G,22,PC,183,199,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102002362 ,VENUS  HAIR FOOD  95G,22,PC,101,119,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102006117 ,VENUS  HAIR FOOD  60G,22,PC,60,69,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102002492 ,VENUS CURL ACTIVATOR 110G,22,PC,85,99,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102006100 ,VENUS CURL ACTIVATOR 60G,22,PC,51,59,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161104349052 ,ALANA COCOA BUTTER 400ML,22,PC,138,169,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161104342404 ,ALANA LANOLIN 400ML,22,PC,138,169,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161104342435 ,ALANA GLYCERINE 400ML,22,PC,138,169,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161104340233 ,ALANA GLYCERINE 200ML,22,PC,89,99,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161104340257 ,ALANA LANOLIN 200ML,22,PC,89,99,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161104349045 ,ALANA COCOA BUTTER 200ML,22,PC,89,99,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161104340240 ,ALANA LANOLIN 100ML,22,PC,57,67,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161104349038 ,ALANA COCOA BUTTER 100ML,22,PC,57,67,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161104340226 ,ALANA GLYCERINE 100ML,22,PC,57,67,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
