Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6164000066269,ALISON'S HAIR FOOD AVOCADO 50GMS,22,pcs,55.1,67,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066108,ALISON'S HAIR FOOD AVOCADO 100GMS,22,pcs,90.915,109.098,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066245,ALISON'S HAIR FOOD COCONUT 50GMS,22,pcs,55.1,66,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066085,ALISON'S HAIR FOOD WHEAT G/OIL 100GMS,22,pcs,90.91693334,109.10032,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066481,ALISON'S HAIR OIL ALMOND & VITAMIN E 200ML,22,pcs,220.4,264.48,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066474,ALISON'S HAIR OIL COCONUT & OLIVE OIL 200ML,22,pcs,220.4,264.48,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066986,ALISON'S HAND WASH ALOE VERA 300ML,22,pcs,110.2,132.24,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066948,ALISON'S HAND WASH APPLE 300ML,22,pcs,110.2,132.24,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066955,ALISON'S HAND WASH LAVENDER 300ML,22,pcs,110.2,132.24,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066962,ALISON'S HAND WASH SPRING 300ML,22,pcs,110.2,132.24,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066979,ALISON'S HAND WASH STRAWBERRY 300ML,22,pcs,110.2,132.24,20,VAT @16%,INCLUSIVE,,,,,,,,
6009610390710,ALISON'S NAIL POLISH REMOVER 75ML,22,pcs,71.63,85.956,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066054,MISCHIEF CASUAL WOMEN 50ML,22,pcs,220.4,264.48,20,VAT @16%,INCLUSIVE,,,,,,,,
6009610391168,MISCHIEF CASUAL WOMEN FRAG BODY SPRAY 120ML,22,pcs,181.83,218.196,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066610,FESTIVAL COLOUR PINK 10G,22,pcs,23.693,28,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066573,FESTIVAL COLOUR TOMATO RED 10G,22,pcs,13.224,16,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066641,FESTIVAL ESSENCE BANANA 50ML,22,pcs,53.447,64,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066665,FESTIVAL ESSENCE CHOCOLATE 50ML,22,pcs,53.447,64,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066818,FESTIVAL ESSENCE LEMON & LIME 50ML,22,pcs,53.447,64,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066801,FESTIVAL ESSENCE ORANGE 50ML,22,pcs,53.447,64,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066832,FESTIVAL ESSENCE PASSION FRUITS 50ML,22,pcs,53.447,64,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066689,FESTIVAL ESSENCE PINEAPPLE 50ML,22,pcs,53.447,64,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066825,FESTIVAL ESSENCE ROSE 50ML,22,pcs,53.447,64,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066658,FESTIVAL ESSENCE STRAWBERRY 50ML,22,pcs,53.447,64,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000066672,FESTIVAL ESSENCE VANILLA 50ML,22,pcs,53.447,64,20,VAT @16%,INCLUSIVE,,,,,,,,
6009610390154,IDEAL CASTOR OIL 50ML,22,pcs,66.12,80,20,VAT @16%,INCLUSIVE,,,,,,,,
