Code,1100450318,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6161103373362 ,DAIRY LAND MINI FIESTA 70ML,22,PACK ,53,65,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6161103373393 ,DAIRY LAND VANILLA& STRAWBERRY I/CREAM 100ML,22,PACK ,37.45833333,45,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6161103373256 ,DAIRY LAND MEGA CONE 90ML,22,PACK ,58.29,70,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6161103373133 ,DAIRY LAND CHOCOLATE RIPPLE 175ML,22,PACK ,54.13333333,65,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6161103372464 ,DAIRY LAND VANILLA STRAWBERRY 120ML,22,PACK ,37.45833333,45,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6161103370118 ,DAIRY LAND VAN STRAW MIO 80ML,22,PACK ,49.97666667,60,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6161103370095 ,DAIRY LAND  VANILLA 500ML,22,PACK ,119.915,140,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6161103370149 ,DAIRY LAND MIO VANILLA 250ML,22,PACK ,70.76,85,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6161103370156 ,DAIRY LAND MIO VANILLA/CHOCOLATE  250ML,22,PACK ,70.76,85,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6161103370002 ,MIO VANILLA/STRAWBERRY 500ML,22,PACK ,119.9875,140,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6161103370033 ,MIO VANILLA/CHOCOLATE 500ML,22,PACK ,119.915,140,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6161103373355 ,DAIRY LAND MINI FIESTA CLASSIC 70ML,22,PACK ,53,70,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6161103374253 ,DAIRY LAND NEO POLITAN 500ML,22,PACK ,140,160,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6161103373164 ,DAIRY LAND BLUEBERRY SWIRL 175ML,22,PACK ,53.36,65,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6161103373140 ,DAIRY LAND STRAWBERRY  RIPPLE 175ML,22,PACK ,54.13333333,65,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6161103372457 ,DAIRY LAND VANILLA  120ML,22,PACK ,37.45833333,45,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6161103374208 ,DAIRY LAND VANILLA  500ML,22,PACK ,161.82,190,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6161103374239 ,DAIRY LAND VANILLA/STRAWBERRY 500ML,22,PACK ,161.82,190,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6161103370163 ,DAIRY LAND MIO VANILLA/STRAWBERRY  250ML,22,PACK ,70.80833333,85,,VATABLE,INCLUSIVE,DRINK,,,,,,,
