Code,1100450318,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
2018204000014 ,WHITE BREAD 400G ,22,PC,31.5,45,,EXCEMPT,INCLUSIVE,BREAD PRODUCTS,,,,,,,
2018204000025 ,WHITE BREAD 600G ,22,PC,46.2,66,,EXCEMPT,INCLUSIVE,BREAD PRODUCTS,,,,,,,
2018204000095 ,WHITE BREAD 800G ,22,PC,66.5,95,,EXCEMPT,INCLUSIVE,BREAD PRODUCTS,,,,,,,
2018204000045 ,BROWN BREAD 400G ,22,PC,31.5,45,,EXCEMPT,INCLUSIVE,BREAD PRODUCTS,,,,,,,
2018204000052 ,BROWN BREAD 600G ,22,PC,46.2,66,,EXCEMPT,INCLUSIVE,BREAD PRODUCTS,,,,,,,
2018204000069 ,BROWN BREAD 800G ,22,PC,66.5,95,,EXCEMPT,INCLUSIVE,BREAD PRODUCTS,,,,,,,
2018204000076 ,BURNS WHITE,22,PC,35,50,,EXCEMPT,INCLUSIVE,BREAD PRODUCTS,,,,,,,
2018204000083 ,BURNS BROWN,22,PC,35,50,,EXCEMPT,INCLUSIVE,BREAD PRODUCTS,,,,,,,
2018204000090 ,SWEET MANDAZI,22,PC,35,50,,EXCEMPT,INCLUSIVE,BREAD PRODUCTS,,,,,,,
20182040000106 ,QUEEN CAKES,22,PC,36,60,,VAT@16%,INCLUSIVE,BREAD PRODUCTS,,,,,,,
20182040000113 ,BLOCK CAKES 500 GMS,22,PC,86.4,144,,VAT@16%,INCLUSIVE,BREAD PRODUCTS,,,,,,,
20182040000120 ,BLOCK CAKES 300 GMS,22,PC,56.4,94,,VAT@16%,INCLUSIVE,BREAD PRODUCTS,,,,,,,
20182040000137 ,BLACK FOREST SLICE 150 GMS,22,PC,72,120,,VAT@16%,INCLUSIVE,BREAD PRODUCTS,,,,,,,
20182040000144 ,WHITE FOREST SLICE 150 GMS,22,PC,36,60,,VAT@16%,INCLUSIVE,BREAD PRODUCTS,,,,,,,
20182040000155 ,TEA SCONES,22,PC,18,30,,VAT@16%,INCLUSIVE,BREAD PRODUCTS,,,,,,,
20182040000168 ,COOKIES,22,PC,90,150,,VAT@16%,INCLUSIVE,BREAD PRODUCTS,,,,,,,
20182040000175 ,VANILLA CAKES,22,PC,12,20,,VAT@16%,INCLUSIVE,BREAD PRODUCTS,,,,,,,
20182040000182 ,DOUGHNUTS,22,PC,35,50,,EXCEMPT,INCLUSIVE,BREAD PRODUCTS,,,,,,,
20182040000199 ,HOTDOG ROLLS WHITE,22,PC,35,50,,EXCEMPT,INCLUSIVE,BREAD PRODUCTS,,,,,,,
20182040000205 ,HOTDOG ROLLS BROWN,22,PC,105,150,,EXCEMPT,INCLUSIVE,BREAD PRODUCTS,,,,,,,
20182040000212 ,HEART SHAPED CAKES,22,PC,105,150,,VAT@16%,INCLUSIVE,BREAD PRODUCTS,,,,,,,
