Code,1100450318,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6008879012357 ,BABY JELLY S&S 110ML,22,PC,75.1,89,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102006841 ,BABY JELLY S&S 275ML,22,PC,158.34,176,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
88820309 ,BABY POWDER M&G  100GMS,22,PC,120.8,149,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
8998103000589 ,BABY POWDER S&S  100GMS,22,PC,120.8,149,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
8888103201010 ,BABY POWDER M&G  50GMS,22,PC,79.17,88,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
8998103000565 ,BABY POWDER S&S 50GMS,22,PC,79.17,88,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6008879034267 ,JOY MILK & HONEYLOTION 400ML,22,PC,127.21,159,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102009866 ,JOY LEMON LOTION 400ML,22,PC,127.21,159,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6008879034229 ,JOY GLYCERINE LOTION 400ML,22,PC,127.21,159,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6008879034250 ,JOY MILK & HONEYLOTION 200ML,22,PC,80.52,99,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102009859 ,JOY LEMON LOTION 200ML,22,PC,80.52,99,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6008879034298 ,JOY GLYCERINE LOTION 200ML,22,PC,80.52,99,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102006018 ,ROBERTS ANTISEPTIC 500ML,22,PC,314.58,364,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6008879087812 ,ROBERTS ANTISEPTIC 250ML,22,PC,182,219,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102000160 ,ROBERTS ANTISEPTIC 100ML,22,PC,86.92,119,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6008879087805 ,ROBERTS ANTISEPTIC 50ML,22,PC,53.81,69,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
8888103006882 ,BABY WIPES S&S 50 S,22,PC,208.33,250,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
8998103014708 ,BABY WIPES S&S 20 S,22,PC,91.64,119,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
8998103014692 ,BABY WIPES M&G 20 S,22,PC,91.64,119,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
8888103006868 ,BABY WIPES S&S 10 S,22,PC,54.17,70,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
8888103006820 ,BABY WIPES M&G 10 S,22,PC,54.17,70,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
8998103000947 ,BABY LOTION M&G 100ML,22,PC,162.5,189,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
88820279 ,BABY LOTION S&S 100ML,22,PC,162.5,189,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
8998103000978 ,BABY LOTION M&G 200ML,22,PC,291,319,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
8888103204219 ,BABY LOTION S&S 200ML,22,PC,291,319,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102004816 ,USHIDI DISH WASHING 1 LTR,22,PC,126.08,148,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102004809 ,USHIDI DISH WASHING 500ML,22,PC,73.92,88,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102007657 ,USHIDI DISH WASHING 300ML,22,PC,88.02,104,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102006575 ,USHIDI DISH WASHING 600ML,22,PC,103.42,127,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102004861 ,USHIDI PASTE 400ML,22,PC,125,144,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102004854 ,USHIDI PASTE 200ML,22,PC,70.83,89,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
8998103011912 ,SOFTENER M&G 750 ML,22,PC,183.96,209,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
8998103008073 ,SOFTENER S&S 750 ML,22,PC,183.96,209,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6033000102584 ,ROB JAR 25 G,22,PC,66.67,84,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102006124 ,MORNING FRESH ANTBACTERIA 200ML,22,PC,91.3,107,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102004908 ,USHIDI DETERGENT 1KG,22,PC,203.5,239,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102008081 ,ROLL ON ACTIVE  40 ML,22,PC,154,162,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102008425 ,ROLL ON INT.COOL 40 ML,22,PC,154,162,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
8888103004963 ,ROLL ON SOFTLY 40ML,22,PC,154,162,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102518610 ,SHAMPOO EGG 1LTR,22,PC,92,112,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102518641 ,SHAMPOO APPLE 1LTR,22,PC,92,112,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
