Code,1100450318,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6161100885028 ,SUPERLIGHT KIOSK CANDLES-6PCS,22,PC,55.3536,65,,VAT@16%,INCLUSIVE,BODY LOTIONS,,,,,,,
6161100885059 ,SUPERLIGHT KIOSK CANDLES-6PCS,22,PC,55.3536,65,,VAT@16%,INCLUSIVE,BODY LOTIONS,,,,,,,
6161100885929 ,NIGHT CLUB CANDLE LARGE-GREEN,22,PC,83.3187,110,,VAT@16%,INCLUSIVE,BODY LOTIONS,,,,,,,
6161100885875 ,NIGHT CLUB CANDLE SMALL-BLUE,22,PC,49.5876,60,,VAT@16%,INCLUSIVE,BODY LOTIONS,,,,,,,
6161100885912 ,NIGHT CLUB CANDLE SMALL-PINK,22,PC,49.5876,60,,VAT@16%,INCLUSIVE,BODY LOTIONS,,,,,,,
6161110790053 ,CLOROX LEMON 1 LTR ,22,PC,152,178,,VAT@16%,INCLUSIVE,BODY LOTIONS,,,,,,,
6161110790022 ,CLOROX BLEACH ORIGINAL 1 LTR ,22,PC,152,178,,VAT@16%,INCLUSIVE,BODY LOTIONS,,,,,,,
6161110790084 ,CLOROX BLEACH FLORAL 1 LTR ,22,PC,152,178,,VAT@16%,INCLUSIVE,BODY LOTIONS,,,,,,,
6161110790077 ,CLOROX BLEACH FLORAL 250ML ,22,PC,52,65,,VAT@16%,INCLUSIVE,BODY LOTIONS,,,,,,,
6161110790046 ,CLOROX LEMON 250ML,22,PC,52,65,,VAT@16%,INCLUSIVE,BODY LOTIONS,,,,,,,
6161110790015 ,CLOROX BLEACH ORIGINAL 250ML ,22,PC,52,65,,VAT@16%,INCLUSIVE,BODY LOTIONS,,,,,,,
6161102005639 ,BABY GIFT PACK S&S LARGE,22,PC,742,845,,VAT@16%,INCLUSIVE,BODY LOTIONS,,,,,,,
