Code,Name,,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6.16E+12,EXE FORTIFIED CHAPATI FLOUR 2KG,22,PACKET,,,20,VAT @ 16%,INCLUSIVE,,Red|Blue|Black|White,CF1,CF2,CF3,CF4,CF5,CF6
,SAHYUN HAND WASHING SOAP,22,PACKET,140,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,PEP MANGO DRINK 1 LTR,22,BOTTLE,105,,5,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,PEP MANGO DRINK 2 LTR,22,BOTTLE,220,,5,VAT @ 16%,INCLUSIVE,,,,,,,,
6.01E+12,QUENCHER PINEAPPLE FLAVOURED DRINK 1 LTR,22,BOTTLE,107,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,NESTLE MILO 400G,22,TIN,512,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,LATEST COTTON SWABS,22,PACK ,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.01E+12,FAMILA PURE WIMBI 1 KG,22,PACKET,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,GEISHA LONG LASTIN SOAP 225G,22,PACKET,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,FAMILA PURE WIMBI 500 G,22,PACKET,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,NESCAFE CLASSIC 1.6 G,22,PACK,6,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,KENSALT IODATED SALT 1 KG,22,PACK,23.25,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,KENSALT IODATED SALT 500 G,22,PACK,11.75,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,DOVE COTTON WOOL 200 G,22,PACK,96,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,BELLA WHITE TISSUE JUMBO ROLL,22,PACK,74,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,TOILEX WHITE TOILET ROLL 4-ROLLS PACK,22,PACK,75.5,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,BOUNCY BABY DIAPERS NO. 5 JUNIORS,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,RAHA DRINKING CHOCOLATE 50G,22,PACK,25.4,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,RAHA DRINKING CHOCOLATE 20G,22,PACK,7.9,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,RAHA DRINKING CHOCOLATE 200G,22,JAR,148,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,RAHA DRINKING CHOCOLATE 400G,22,JAR,260,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,RAHA DRINKING CHOCOLATE 100G,22,JAR,83,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,NESTLE MILO 100G,22,PACK,172.5,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,LUCOZADE ENERGY 300 ML,22,TIN,153,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,KIWI SHOE POLISH DARK TAN 100 ML,22,TIN,150,,,VAT @ 16%,INCLUSIVE,,,,,,,,
7.89E+12,NESCAFE CLASSIC 50 G,22,JAR,440,,,VAT @ 16%,INCLUSIVE,,,,,,,,
7.90E+12,NESCAFE CLASSIC 100 G,22,JAR,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,TROPICAL HEAT GINGER SPICE 45 G,22,JAR,73.3,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,TROPICAL HEAT GARLIC POWDER SPICE 100 G,22,JAR,159,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,TROPICAL HEAT CINNAMON SPICE 100 G,22,JAR,130.8,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,TROPICAL HEAT GARAM MASALA 100 G,22,JAR,159,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,TROPICAL HEAT GARAM MASALA 50 G,22,JAR,82,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,TROPICAL HEAT CINNAMON SPICE 50 G,22,JAR,69,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,TROPICAL HEAT GARLIC POWDER SPICE 50 G,22,JAR,98,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,TROPICAL HEAT GINGER SPICE 100 G,22,JAR,159,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,KIWI SUEDE CLEANER 100 ML,22,JAR,104,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.00E+12,STAR SOFT LAVENDER FRESH 200 ML,22,JAR,66.25,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,DETTOL ANTI-BACTERIAL SOAP ORIGINAL 90 G,22,PACK,84,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,TOP FRY PURE VEGETABLE OIL 500 ML,22,CAN,99,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,TOP FRY PURE VEGETABLE OIL 1 LTR,22,CAN,183,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,NGARISHA SCOURING PAD,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,KIWI SHOE POLISH BLACK 100 ML,22,TIN,147,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.01E+12,PEP ORANGE DRINK 2 LTR,22,BOTTLE,221,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.01E+12,AQUAFRESH TOOTH PASTE 25 ML,22,TUBE,37.4,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,JIK BLEACH REGULAR 70 ML,22,BOTTLE,17,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,FLORA ULTRA PADS,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
7.62E+12,CADBURY COCOA 20 G,22,SATCHET,21.3,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,         ALL TIME CONFIDENCE PADS,22,PACK,41,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.01E+12,VELVEX COTTON WOOL 50 G,22,PACK,29,,,VAT @ 16%,INCLUSIVE,,,,,,,,
8.93E+12,CLOSE UP DEEP ACTION 125 G,22,TUBE,143,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,HARPIC POWER PLUS 500 ML,22,BOTTLE,232,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,TOP FRY PURE VEGETABLE OIL 5 LTRS,22,CAN,759,,,VAT @ 16%,INCLUSIVE,,,,,,,,
4.02E+12,ALWAYS MAXI THICK,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,TENA POCKET TISSUES WHITE,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,KRACKLES BAR-B-QUE 150 G,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,KRACKLES TINGLY CHEESE 150 G,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,KRACKLES PERFECTLY SALTED 150 G,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,KRACKLES ZINGY SALT AND VINEGAR 150 G,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,KRACKLES TANGY TOMATO 150 G,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.93E+12,SUNNY GIRL ULTRA THIN SERIES,22,PACK,38,,,VAT @ 16%,INCLUSIVE,,,,,,,,
4.02E+12,ALWAYS MAXI THICK,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,KRACKLES TANGY TOMATO 30 G,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,KRACKLES PERFECTLY SALTED 30 G,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.95E+12,VELA ULTRA REGULAR ,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.00E+12,HUGGIES DRY COMFORT MIDI,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,FAY FOIL 90M,22,ROLL,42.5,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,FAY CLEANING FILM 300M,22,ROLL,541,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,COSY WHITE UNWRAP 4s,22,PACK,103,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,COSY SINGLE WHITE WRAP,22,ROLL,25.5,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,COSY WHITE UNWRAP 10s,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,COSY WHITE UNWRAP 8s,22,PACK,205,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,SIFA WHITE WRAP,22,ROLL,20,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,FAY SINGLE WRAP,22,ROLL,31,,,VAT @ 16%,INCLUSIVE,,,,,,,,
