Code,1100450318,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6161100450318 ,EXE FORTIFIED CHAPATI FLOUR 2KG,22,PACKET,125.5,130,,Exempt,INCLUSIVE,WHEAT,Red|Blue|Black|White,CF1,CF2,CF3,CF4,CF5,CF6
100 ,SAHYUN HAND WASHING SOAP,22,PACKET,162.4,170,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6161101060936 ,PEP MANGO DRINK 1 LTR,22,BOTTLE,121.8,130,,VAT @ 16%,INCLUSIVE,JUICES,,,,,,,
6161101060950 ,PEP MANGO DRINK 2 LTR,22,BOTTLE,255.2,270,,VAT @ 16%,INCLUSIVE,JUICES,,,,,,,
6009619870305 ,QUENCHER PINEAPPLE FLAVOURED DRINK 1 LTR,22,BOTTLE,124.12,135,,VAT @ 16%,INCLUSIVE,JUICES,,,,,,,
6161106961788 ,NESTLE MILO 400G,22,TIN,593.92,610,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6164002588394 ,LATEST COTTON SWABS,22,PACK ,55.6,75,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6008792000134 ,FAMILA PURE WIMBI 1 KG,22,PACKET,97.95833333,120,,Exempt,INCLUSIVE,WHEAT,,,,,,,
6162006601590 ,GEISHA LONG LASTIN SOAP 225G,22,PACKET,66.45833333,85,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6161100450134 ,FAMILA PURE WIMBI 500 G,22,PACKET,57.46833333,80,,VAT @ 16%,INCLUSIVE,WHEAT,,,,,,,
6161106961627 ,NESCAFE CLASSIC 1.6 G,22,PACK,6.96,7,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6161101280020 ,KENSALT IODATED SALT 1 KG,22,PACK,26.97,35,,VAT @ 16%,INCLUSIVE,,,,,,,,
