Code,1100450318,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6161100450318 ,EXE FORTIFIED CHAPATI FLOUR 2KG,FLOUR,PACKET,,,20,VAT @ 16%,INCLUSIVE,WHEAT,Red|Blue|Black|White,CF1,CF2,CF3,CF4,CF5,CF6
,SAHYUN HAND WASHING SOAP,SOAPS AND DETERGENTS,PACKET,140,,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6161101060936 ,PEP MANGO DRINK 1 LTR,JUICES AND BEVERAGES,BOTTLE,105,,5,VAT @ 16%,INCLUSIVE,JUICES,,,,,,,
6161101060950 ,PEP MANGO DRINK 2 LTR,JUICES AND BEVERAGES,BOTTLE,220,,5,VAT @ 16%,INCLUSIVE,JUICES,,,,,,,
6009619870305 ,QUENCHER PINEAPPLE FLAVOURED DRINK 1 LTR,JUICES AND BEVERAGES,BOTTLE,107,,,VAT @ 16%,INCLUSIVE,JUICES,,,,,,,
6161106961788 ,NESTLE MILO 400G,JUICES AND BEVERAGES,TIN,512,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6164002588094 ,LATEST COTTON SWABS,TISSUE,PACK ,,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6008792000134 ,FAMILA PURE WIMBI 1 KG,FLOUR,PACKET,,,,VAT @ 16%,INCLUSIVE,WHEAT,,,,,,,
6162006601590 ,GEISHA LONG LASTIN SOAP 225G,SOAPS AND DETERGENTS,PACKET,,,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6161100450134 ,FAMILA PURE WIMBI 500 G,FLOUR,PACKET,,,,VAT @ 16%,INCLUSIVE,WHEAT,,,,,,,
6161106961627 ,NESCAFE CLASSIC 1.6 G,JUICES AND BEVERAGES,PACK,6,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6161101280020 ,KENSALT IODATED SALT 1 KG,,PACK,23.25,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6161101280013 ,KENSALT IODATED SALT 500 G,,PACK,11.75,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6161102570021 ,DOVE COTTON WOOL 200 G,TISSUE,PACK,96,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
2164000242595 ,BELLA WHITE TISSUE JUMBO ROLL,TISSUE,PACK,74,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6161100760677 ,TOILEX WHITE TOILET ROLL 4-ROLLS PACK,TISSUE,PACK,75.5,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6161104895016 ,BOUNCY BABY DIAPERS NO. 5 JUNIORS,BABY,PACK,,,,VAT @ 16%,INCLUSIVE,BABY,,,,,,,
6161104401620 ,RAHA DRINKING CHOCOLATE 50G,JUICES AND BEVERAGES,PACK,25.4,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6161104401613 ,RAHA DRINKING CHOCOLATE 20G,JUICES AND BEVERAGES,PACK,7.9,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6161104401651 ,RAHA DRINKING CHOCOLATE 200G,JUICES AND BEVERAGES,JAR,148,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6161104401668 ,RAHA DRINKING CHOCOLATE 400G,JUICES AND BEVERAGES,JAR,260,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6161104401644 ,RAHA DRINKING CHOCOLATE 100G,JUICES AND BEVERAGES,JAR,83,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6161106961764 ,NESTLE MILO 100G,JUICES AND BEVERAGES,PACK,172.5,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6164003477390 ,LUCOZADE ENERGY 300 ML,JUICES AND BEVERAGES,TIN,153,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6161108970108 ,KIWI SHOE POLISH DARK TAN 100 ML,SHOE POLISH,TIN,150,,,VAT @ 16%,INCLUSIVE,SHOE POLISH,,,,,,,
7891000071809 ,NESCAFE CLASSIC 50 G,JUICES AND BEVERAGES,JAR,440,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
7891000071786 ,NESCAFE CLASSIC 100 G,JUICES AND BEVERAGES,JAR,,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6161100912380 ,TROPICAL HEAT GINGER SPICE 45 G,SPICES,JAR,73.3,,,VAT @ 16%,INCLUSIVE,SPICES,,,,,,,
6161100912298 ,TROPICAL HEAT GARLIC POWDER SPICE 100 G,SPICES,JAR,159,,,VAT @ 16%,INCLUSIVE,SPICES,,,,,,,
6161100911604 ,TROPICAL HEAT CINNAMON SPICE 100 G,SPICES,JAR,130.8,,,VAT @ 16%,INCLUSIVE,SPICES,,,,,,,
6161100912243 ,TROPICAL HEAT GARAM MASALA 100 G,SPICES,JAR,159,,,VAT @ 16%,INCLUSIVE,SPICES,,,,,,,
6161100912236 ,TROPICAL HEAT GARAM MASALA 50 G,SPICES,JAR,82,,,VAT @ 16%,INCLUSIVE,SPICES,,,,,,,
6161100911598 ,TROPICAL HEAT CINNAMON SPICE 50 G,SPICES,JAR,69,,,VAT @ 16%,INCLUSIVE,SPICES,,,,,,,
6161100912281 ,TROPICAL HEAT GARLIC POWDER SPICE 50 G,SPICES,JAR,98,,,VAT @ 16%,INCLUSIVE,SPICES,,,,,,,
6161100912397 ,TROPICAL HEAT GINGER SPICE 100 G,SPICES,JAR,159,,,VAT @ 16%,INCLUSIVE,SPICES,,,,,,,
6161108977046 ,KIWI SUEDE CLEANER 100 ML,SHOE POLISH,JAR,104,,,VAT @ 16%,INCLUSIVE,SHOE POLISH,,,,,,,
6001067000624 ,STAR SOFT LAVENDER FRESH 200 ML,TOILET AND HAND WASH,JAR,66.25,,,VAT @ 16%,INCLUSIVE,TOILET CLEANER,,,,,,,
6161100952591 ,DETTOL ANTI-BACTERIAL SOAP ORIGINAL 90 G,SOAPS AND DETERGENTS,PACK,84,,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6161100902930 ,TOP FRY PURE VEGETABLE OIL 500 ML,COOKING OIL,CAN,99,,,VAT @ 16%,INCLUSIVE,COOKING OIL,,,,,,,
6161100902947 ,TOP FRY PURE VEGETABLE OIL 1 LTR,COOKING OIL,CAN,183,,,VAT @ 16%,INCLUSIVE,COOKING OIL,,,,,,,
6164000184055 ,NGARISHA SCOURING PAD,CLEANING,PACK,,,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
6161108970092 ,KIWI SHOE POLISH BLACK 100 ML,SHOE POLISH,TIN,147,,,VAT @ 16%,INCLUSIVE,SHOE POLISH,,,,,,,
6008835000299 ,PEP ORANGE DRINK 2 LTR,JUICES AND BEVERAGES,BOTTLE,221,,,VAT @ 16%,INCLUSIVE,JUICES,,,,,,,
,AQUAFRESH TOOTH PASTE 25 ML,TOOTH PASTE,TUBE,37.4,,,VAT @ 16%,INCLUSIVE,TOOTH PASTE,,,,,,,
6161100950825 ,JIK BLEACH REGULAR 70 ML,TOILET AND HAND WASH,BOTTLE,17,,,VAT @ 16%,INCLUSIVE,BLEACH,,,,,,,
6161102572605 ,FLORA ULTRA PADS,SANITARY,PACK,,,,VAT @ 16%,INCLUSIVE,PADS,,,,,,,
7622210304087 ,CADBURY COCOA 20 G,JUICES AND BEVERAGES,SATCHET,21.3,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6161104893258 ,ALL TIME CONFIDENCE PADS,SANITARY,PACK,41,,,VAT @ 16%,INCLUSIVE,PADS,,,,,,,
6009614483067 ,VELVEX COTTON WOOL 50 G,COTTON,PACK,29,,,VAT @ 16%,INCLUSIVE,COTTON,,,,,,,
8934839120955 ,CLOSE UP DEEP ACTION 125 G,TOOTH PASTE,TUBE,143,,,VAT @ 16%,INCLUSIVE,TOOTH PASTE,,,,,,,
6161100952430 ,HARPIC POWER PLUS 500 ML,TOILET AND HAND WASH,BOTTLE,232,,,VAT @ 16%,INCLUSIVE,TOILET CLEANER,,,,,,,
6161100902978 ,TOP FRY PURE VEGETABLE OIL 5 LTRS,COOKING OIL,CAN,759,,,VAT @ 16%,INCLUSIVE,COOKING OIL,,,,,,,
4015400326267 ,ALWAYS MAXI THICK,SANITARY,PACK,,,,VAT @ 16%,INCLUSIVE,PADS,,,,,,,
6161102573466 ,TENA POCKET TISSUES WHITE,TISSUE,PACK,,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6164000072109 ,KRACKLES BAR-B-QUE 150 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
6164000072086 ,KRACKLES TINGLY CHEESE 150 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
6164000072062 ,KRACKLES PERFECTLY SALTED 150 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
6164000072093 ,KRACKLES ZINGY SALT AND VINEGAR 150 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
6164000072079 ,KRACKLES TANGY TOMATO 150 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
6928140301501 ,SUNNY GIRL ULTRA THIN SERIES,SANITARY,PACK,38,,,VAT @ 16%,INCLUSIVE,PADS,,,,,,,
4015400325987 ,ALWAYS MAXI THICK,SANITARY,PACK,,,,VAT @ 16%,INCLUSIVE,PADS,,,,,,,
6164000072932 ,KRACKLES TANGY TOMATO 30 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
6164000072925 ,KRACKLES PERFECTLY SALTED 30 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
