Code,1100450318,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6924783900552 ,7 WATTS PIN BULB,22,PC,90,125,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6924783900767 ,9 WATTS PIN BULB,22,PC,100,135,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6951685615208 ,1 G 2 WAY MG,22,PC,70,100,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6951685615215 ,2 G 2 WAY MG,22,PC,90,150,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6951685615222 ,3 G 2 WAY MG,22,PC,120,160,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6951685615253 ,S/SOCKET MG,22,PC,120,150,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
8710163393636 ,8 WATTS PIN PHILLIPS BULB,22,PC,210,260,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
8710163393650 ,8 WATTS SCREW PHILLIPS BULB,22,PC,210,260,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
8727900871128 ,11 WATTS PIN PHILLIPS BULB,22,PC,210,260,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
8727900871081 ,11 WATTS SCREW PHILLIPS BULB,22,PC,210,260,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
8727900871203 ,14 WATTS PIN PHILLIPS BULB,22,PC,220,270,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
8718696409503 ,18 WATTS SCREW PHILLIPS BULB,22,PC,270,320,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
