Code,1100450318,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6161102003390 ,FLAMINGO ALOVERA 90GMS 3S,22,PC,60,74,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102003369 ,FLAMINGO LEMON 90GMS 3S,22,PC,60,74,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102003420 ,FLAMINGO MILK 90GMS 3S,22,PC,60,74,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102003734 ,FLAMINGO PEACH 90GMS 3S,22,PC,60,74,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102004359 ,FLAMINGO ROSE 90GMS 3S,22,PC,60,74,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102003413 ,FLAMINGO MILK 215GMS,22,PC,52,64,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102004342 ,FLAMINGO ROSE 215GMS,22,PC,52,64,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102003352 ,FLAMINGO LEMON 215GMS,22,PC,52,64,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102003727 ,FLAMINGO PEACH 215GMS,22,PC,52,64,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102003383 ,FLAMINGO ALOVERA 215GMS,22,PC,52,64,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102004335 ,FLAMINGO ROSE 90GMS,22,PC,26,31,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102003406 ,FLAMINGO MILK 90GMS,22,PC,26,31,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102007077 ,FLAMINGO H/WASH PEACH 400ML,22,PC,148,169,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102006971 ,FLAMINGO H/WASH LEMON 400ML,22,PC,148,169,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102005790 ,FLAMINGO H/WASH ALOEVERA 400ML,22,PC,148,169,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161100884267 ,TCB SUPER RELAXER 212GMS,22,PC,136,155,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161100884250 ,TCB REGULAR RELAXER 212GMS,22,PC,136,155,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161100884328 ,TCB HAIR FOOD 250ML,22,PC,160,189,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161100884311 ,TCB HAIR FOOD 100ML,22,PC,80,99,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
8992745320326 ,STELLA AEROSOL ORANGE 250ML,22,PC,187,210,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
8992745320319 ,STELLA AEROSOL ROSE 250ML,22,PC,187,210,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
8992745320302 ,STELLA AEROSOL LEMON 250ML,22,PC,187,210,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
802535121027 ,MEGA GROWTH 2-T-UP,22,PC,340,389,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102517941 ,DARLING HAIR FOOD 100GMS,22,PC,76,89,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102518085 ,DARLING HAIR FOOD 250GMS,22,PC,157,189,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102518221 ,DARLING VIBRANT SHEEN 100GMS,22,PC,76,89,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102518238 ,DARLING VIBRANT SHEEN 225GMS,22,PC,148,164,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102518658 ,DARLING VIBRANT SHEEN 60GMS,22,PC,51,64,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102519396 ,DARLING SHINE SERUM 150ML,22,PC,426,499,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102009750 ,USHIDI VALUE PACK 700G  B 3+1,22,PC,90.5,114,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102009675 ,USHIDI VALUE PACK 700G Y 3+1,22,PC,90.5,114,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102006063 ,USHIDI YELLOW 175GMS TWIN,22,PC,56,64,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
