Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
PR-11,Product 11,C1,box,90,100,20, No Tax, INCLUSIVE, SC1,Red|Blue|Black|White,CF1,CF2,CF3,CF4,CF5,CF6
6164002665538 ,NUMBERS 30 GMS,22,PCS,12,15,20, No Tax, INCLUSIVE,,,,,,,,
6164002665118 ,NUMBERS 50 GMS,22,PCS,23,30,20, No Tax, INCLUSIVE,,,,,,,,
6164002665125 ,NUMBERS 100 GMS,22,PCS,40,50,20, No Tax, INCLUSIVE,,,,,,,,
6164002665132 ,NUMBERS 200 GMS,22,PCS,70,85,20, No Tax, INCLUSIVE,,,,,,,,
6164002665514 ,POPCORNS 30GMS,22,PCS,12,20,20, No Tax, INCLUSIVE,,,,,,,,
6164002665149 ,POPCORNS 50 GMS,22,PCS,23,30,20, No Tax, INCLUSIVE,,,,,,,,
6164002665156 ,POPCORNS 100 GMS,22,PCS,40,50,20, No Tax, INCLUSIVE,,,,,,,,
6164002665163 ,POPCORNS 200 GMS,22,PCS,70,80,20, No Tax, INCLUSIVE,,,,,,,,
6164002665248 ,PEANUTS 100GMS,22,PCS,72,82,20, No Tax, INCLUSIVE,,,,,,,,
6164002665255 ,PEANUTS 200GMS,22,PCS,42,50,20, No Tax, INCLUSIVE,,,,,,,,
6164002665262 ,PEELED PEANUTS 50 GMS,22,PCS,22,30,20, No Tax, INCLUSIVE,,,,,,,,
