Product Code,Net Unit Cost,Quantity,Product Variant,Tax Rate Name,Discount,Expiry
6.16111E+12,33.2514,6,,VAT @16%,10%,
6.16111E+12,33.2514,6,,VAT @16%,10%,
6.16111E+12,53.33293333,6,,VAT @16%,10%,
6.16111E+12,53.33293333,6,,VAT @16%,10%,
6.16111E+12,77.6678,6,,VAT @16%,10%,
6.16111E+12,58.08313333,6,,VAT @16%,10%,
6.16111E+12,58.08313333,6,,VAT @16%,10%,
6.16111E+12,132.3337667,7,,VAT @16%,10%,
6.16111E+12,132.3337667,6,,VAT @16%,10%,
6.16111E+12,132.3337667,8,,VAT @16%,10%,
6.16111E+12,132.3337667,8,,VAT @16%,10%,
6.16111E+12,132.3337667,7,,VAT @16%,10%,
6.16111E+12,135.0008,6,,VAT @16%,10%,
6.16111E+12,95.41676667,12,,VAT @16%,10%,
6.16111E+12,62.99728,30,,VAT @16%,10%,
6.16111E+12,62.99728,30,,VAT @16%,10%,
6.16111E+12,62.99728,30,,VAT @16%,10%,
6.16111E+12,21.53346667,18,,VAT @16%,10%,
6.16111E+12,115.5012,6,,VAT @16%,10%,
6.16111E+12,115.5012,6,,VAT @16%,10%,
6.16111E+12,115.5012,6,,VAT @16%,10%,
6.16111E+12,198.6674,6,,VAT @16%,10%,
6.16111E+12,78.75046667,6,,VAT @16%,10%,
6.16111E+12,41.99973333,6,,VAT @16%,10%,
6.16111E+12,58.08313333,6,,VAT @16%,10%,
6.16111E+12,58.08313333,6,,VAT @16%,10%,
6.16111E+12,58.08313333,6,,VAT @16%,10%,
6.16111E+12,55.83466667,6,,VAT @16%,10%,
6.16111E+12,103.6943333,6,,VAT @16%,10%,
6.16111E+12,43.75133333,6,,VAT @16%,10%,
6.16111E+12,82.83366667,6,,VAT @16%,10%,
6.16111E+12,55.83466667,6,,VAT @16%,10%,
6.16111E+12,105.9176667,6,,VAT @16%,10%,
6.16111E+12,61.33306667,6,,VAT @16%,10%,
6.16111E+12,111.389,6,,VAT @16%,10%,
6.16111E+12,74.5416,6,,VAT @16%,10%,
6.16111E+12,149.8894,6,,VAT @16%,10%,
6.16111E+12,37.13353333,6,,VAT @16%,10%,
6.16111E+12,37.13353333,6,,VAT @16%,10%,
6.16111E+12,66.3346,6,,VAT @16%,10%,
