Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6161111290910,Everfresh Bleach 250ML *12Pcs Lavendar,22,PC,33.2514,50,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111290903,Everfresh Bleach 250ML *12Pcs Lemon,22,PC,33.2514,50,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111290897,Everfresh Bleach 500Ml *12 Pcs Lavender,22,PC,53.33293333,77,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111290880,Everfresh Bleach 500Ml *12 Pcs Lemon,22,PC,53.33293333,77,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111291955,Everfresh Bleach 750Ml *12 Pcs Lemon,22,PC,77.6678,105,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111291290,Everfresh Dish/w liquid 500ml berries,22,PC,58.08313333,79,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111291276,Everfresh Dish/w liquid 500ml Orange,22,PC,58.08313333,79,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111291238,Everfresh Handwash 500Ml-Rose,22,PC,132.3337667,185,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111291214,Everfresh Handwash 500Ml-lilly,22,PC,132.3337667,185,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111291191,Everfresh Handwash 500Ml-Amber,22,PC,132.3337667,185,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111291221,Everfresh Handwash 500Ml-R/Berry,22,PC,132.3337667,185,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111291207,Everfresh Handwash 500Ml -D/wood,22,PC,132.3337667,185,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111291092,Everfresh Toilet Cleaner 750Ml,22,PC,135.0008,180,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111290477,Everfresh Disinfectant b/balls 200g,22,PC,95.41676667,115,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111290545,Everfresh Disinfectant blocks 140G cool Breeze,22,PC,62.99728,90,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111290521,Everfresh Disinfectant blocks 140G Passion,22,PC,62.99728,90,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111290507,Everfresh Disinfectant blocks 140G Sensation,22,PC,62.99728,90,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111290774,Everfresh Disinfectant blocks 60G,22,PC,21.53346667,38,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111291009,Everfresh Dish Washing Paste 500Gms Apple,22,PC,115.5012,155,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111290996,Everfresh Dish Washing Paste 500Gms Lemon,22,PC,115.5012,155,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111291016,Everfresh Dish Washing Paste 500GmsOrange,22,PC,115.5012,155,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111290965,Everfresh Dish Washing Paste 750Gms -Lemon,22,PC,198.6674,269,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111291917,Everfresh Scouring Powder Lemon 1Kg,22,PC,78.75046667,106,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111291313,Everfresh Scouring Powder Lemon 500gms,22,PC,41.99973333,58,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111291061,Everfresh Multipurpose Liquid  500ml Lemon,22,PC,58.08313333,79,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111291085,Everfresh Multipurpose Liquid  500ml Orange,22,PC,58.08313333,79,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111291399,Everfresh Multipurpose Liquid  500ml Flower V,22,PC,58.08313333,79,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111640135,Cinamon Ground 50 G,22,PC,55.83466667,73,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111640142,Cinamon Ground 100 G,22,PC,103.6943333,135,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111640159,Corriader Powder 50G,22,PC,43.75133333,57,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111640166,Corriader Powder 100G,22,PC,82.83366667,108,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111640173,Cumin Powder 50G,22,PC,55.83466667,72.58506667,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111640180,Cumin Powder 100G,22,PC,105.9176667,138,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111640272,Tumeric Powder 50G,22,PC,61.33306667,80,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111640289,Tumeric Powder 100G,22,PC,111.389,144,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111640395,Tea Masala 50G,22,PC,74.5416,96,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111640401,Tea Masala 100G,22,PC,149.8894,195,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161111640432,Beef Masala 50G,22,PC,37.13353333,50,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
