Code,1100450318,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6161102008241 ,IMPERIAL LEATHER SOFTLY 200ML,22,PC,168,184,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102008463 ,IMPERIAL LEATHER I/COOL 200ML,22,PC,168,184,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102008920 ,IMPERIAL LEATHER SOFTLY 400ML,22,PC,285,310,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102009026 ,IMPERIAL LEATHER I/COOL 400ML,22,PC,285,310,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102008913 ,IMPERIAL LEATHER ACTIVE 400ML,22,PC,285,310,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102008265 ,IMPERIAL LEATHER J/SPA 200ML,22,PC,168,184,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102008937 ,IMPERIAL LEATHER J/SPA 400ML,22,PC,285,310,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102009996 ,IMPERIAL LEATHER I/COOL 175GMS 2+1,22,PC,200,229,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102008395 ,IMPERIAL LEATHER I/COOL 175GMS,22,PC,100,119,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102008111 ,IMPERIAL LEATHER SPRAY ACTIVE 150ML,22,PC,223,249,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102008142 ,IMPERIAL LEATHER JSPA 150ML,22,PC,223,249,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102008159 ,IMPERIAL LEATHER SOFTLY 150ML,22,PC,223,249,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
5000101120848 ,IMPERIAL LEATHER ACTIVE 200ML,22,PC,168,184,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161102008449 ,IMPERIAL LEATHER JSPA 150ML,22,PC,223,249,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161100883055 ,VALON PURE 500GMS,22,PC,282,310,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161100884052 ,VALON PERFUMED 500GMS,22,PC,282,310,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161100884045 ,VALON PERFUMED 250GMS,22,PC,148,169,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161100883192 ,VALON PERFUMED  MEN 250GMS,22,PC,153,175,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161100883185 ,VALON PERFUMED  MEN 100GMS,22,PC,69,89,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161100883031 ,VALON PURE 200GMS,22,PC,123,144,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161100884021 ,VALON PERFUMED 100GMS,22,PC,67,89,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161100884076 ,VALON PERFUMED 50GMS,22,PC,38,47,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161100883284 ,VALON COCOA SOFT 50GMS,22,PC,42,49,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161100883291 ,VALON COCOA SOFT 100GMS,22,PC,67,89,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161100883239 ,VALON ALOE VERRA 100GMS,22,PC,67,89,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161100884090 ,VALON PERFUMED L/A 250GMS,22,PC,153,175,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
