Product Code,Net Unit Cost,Quantity,Product Variant,Tax Rate Name,Discount,Expiry
6161104401873,394.220432,3,,No Tax,0%,12/31/2018
6161104401866,223.248496,3,,No Tax,0%,12/31/2018
6161104401859,170.5548,8,,No Tax,0%,12/31/2018
6161104401842,54.22768,12,,No Tax,0%,12/31/2018
6161104401835,37.959376,24,,No Tax,0%,12/31/2018
6161104401828,20.964448,24,,No Tax,0%,12/31/2018
6161104400517,15.380208,72,,No Tax,0%,12/31/2018
6161104400623,12.164224,72,,No Tax,0%,12/31/2018
6161104401668,274.865712,12,,No Tax,0%,12/31/2018
6161104401651,156.15688,24,,No Tax,0%,12/31/2018
6161104401637,45.911872,24,,No Tax,0%,12/31/2018
6161104401620,27.477152,96,,No Tax,0%,12/31/2018
6161104401248,373.350176,12,,No Tax,0%,12/31/2018
6161104401231,215.578576,24,,No Tax,0%,12/31/2018
6161104401217,48.37432,96,,No Tax,0%,12/31/2018
6161104403723,13.065776,24,,No Tax,0%,12/31/2018
6161104403716,13.065776,24,,No Tax,0%,12/31/2018
6161104403709,12.863936,48,,No Tax,0%,12/31/2018
6161104403518,151.837504,6,,No Tax,0%,12/31/2018
6161104403914,33.828384,20,,No Tax,0%,12/31/2018
6161104403518,148.204384,12,,No Tax,0%,12/31/2018
6161104404041,33.828384,20,,No Tax,0%,12/31/2018
6161104403242,117.174848,6,,No Tax,0%,12/31/2018
6161104403648,25.337648,12,,No Tax,0%,12/31/2018
6161104403105,46.463568,12,,No Tax,0%,12/31/2018
6161104403006,32.455872,12,,No Tax,0%,12/31/2018
6161104401095,34.164784,24,,No Tax,0%,12/31/2018
6161104401170,29.993424,24,,No Tax,0%,12/31/2018
6161104401088,20.829888,24,,No Tax,0%,12/31/2018
6161104401330,29.993424,24,,No Tax,0%,12/31/2018
6161104401545,8.706032,24,,No Tax,0%,12/31/2018
6009619870244,160.051,12,,No Tax,0%,12/31/2018
6009619870145,111.83,12,,No Tax,0%,12/31/2018
6009619870176,216.572,6,,No Tax,0%,12/31/2018
6009619870251,216.572,6,,No Tax,0%,12/31/2018
6009619870220,86.400976,12,,No Tax,0%,12/31/2018
6009619870343,498.61208,4,,No Tax,0%,12/31/2018
6009619870336,306.24,4,,No Tax,0%,12/31/2018
6009619870329,216.533952,6,,No Tax,0%,12/31/2018
6009619870312,160.051,12,,No Tax,0%,12/31/2018
6009619870305,111.8288333,12,,No Tax,0%,12/31/2018
6161104400418,62.664592,24,,No Tax,0%,12/31/2018
6009619870299,86.400976,12,,No Tax,0%,12/31/2018
6009619870060,498.571712,4,,No Tax,0%,12/31/2018
6009619870053,306.002896,4,,No Tax,0%,12/31/2018
6009619870046,216.57432,6,,No Tax,0%,12/31/2018
6009619870039,160.05912,12,,No Tax,0%,12/31/2018
6009619870022,111.738624,12,,No Tax,0%,12/31/2018
6009619870015,86.333696,12,,No Tax,0%,12/31/2018
6009619870008,62.63768,24,,No Tax,0%,12/31/2018
