Product Code,Net Unit Cost,Quantity,Product Variant,Tax Rate Name,Discount,Expiry
6009610390215,100,12,,No Tax,0,12/31/2018
6164000066320,330,12,,No Tax,0,12/31/2018
6933362460066,230,12,,No Tax,0,12/31/2018
6933362460080,100,12,,No Tax,0,12/31/2018
6933362460011,210,12,,No Tax,0,12/31/2018
6933362460035,89.99916667,12,,No Tax,0,12/31/2018
6161100911727,40,12,,No Tax,0,12/31/2018
6161100911734,67.5,12,,No Tax,0,12/31/2018
60078698,135,12,,No Tax,0,12/31/2018
6001011411650,250,12,,No Tax,0,12/31/2018
60052360,107.5,12,,No Tax,0,12/31/2018
60052377,107.5,12,,No Tax,0,12/31/2018
6001011832325,65,12,,No Tax,0,12/31/2018
6001011316030,65,12,,No Tax,0,12/31/2018
6001012316008,65,12,,No Tax,0,12/31/2018
6003001009106,65,12,,No Tax,0,12/31/2018
6009636440956,100,12,,No Tax,0,12/31/2018
6008677001553,16.66666667,12,,No Tax,0,12/31/2018
6164000066443,70,12,,No Tax,0,12/31/2018
6008677000150,18.75,12,,No Tax,0,12/31/2018
