Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6161102960051,Water Guard Liquid 150ML,22,PC,20,23,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6164000090233,Coconut Oil Tania 60Ml,22,PC,55,65,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6164000090264,Coconut Oil Tania 250Ml,22,PC,200,220,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6164000090189,Coconut Oil Tania 150Ml,22,PC,125,140,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
5060068526923,Fair & Handsome 25Ml,22,PC,75,85,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6161100040380,Haco pegs,22,PC,60,65,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6164000015144,Hurricane Toilet Cleaner 500Ml,22,PC,165,205,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6164000066566,Food Colours 10G,22,PC,14.16666667,17,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6164000066542,Food Colours 10G,22,PC,14.16666667,17,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6164000066504,Food Colours 10G,22,PC,14.16666667,17,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6164000066535,Food Colours 10G,22,PC,14.16666667,17,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6164000066511,Food Colours 10G,22,PC,14.16666667,17,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6164000066696,Food Colours 10G,22,PC,14.16666667,17,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6164000066597,Food Colours 10G,22,PC,14.16666667,17,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6164000066528,Food Colours 10G,22,PC,14.16666667,17,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6009617770102,Ballet Mosquito Repelant 50G,23,PC,60.99916667,70,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
6009617770119,Ballet Mosquito Repelant 100G,24,PC,108,125,20,VAT@ 16%,INCLUSIVE,kitchen,,,,,,,
