Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6161107220808,SHEEN SPRAY 470ML,22,PCS,318.23,390,20,VAT @16%,INCLUSIVE,,,,,,,,
6162400124527,MOVIT SHEEN SPRAY 470ML,22,PCS,330,396,20,VAT @16%,INCLUSIVE,,,,,,,,
6161107220150,SHEEN SPRAY 250ML,22,PCS,218.78,250,20,VAT @16%,INCLUSIVE,,,,,,,,
6162400124602,MOVIT SHEEN SPRAY 250ML,22,PCS,230,276,20,VAT @16%,INCLUSIVE,,,,,,,,
6161107220457,BRAID SPRAY 250ML,22,PCS,165.61,190,20,VAT @16%,INCLUSIVE,,,,,,,,
6161107220648,BRAID SPRAY 120ML,22,PCS,130,156,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000823466,GLYCERINE 50ML,22,PCS,50,60,20,VAT @16%,INCLUSIVE,,,,,,,,
6161107220235,STYLING GEL 250G,22,PCS,160.94,186,20,VAT @16%,INCLUSIVE,,,,,,,,
6161107220723,REGULAR 250G,22,PCS,170,204,20,VAT @16%,INCLUSIVE,,,,,,,,
6161107220716,REGULAR 150G,22,PCS,85,100,20,VAT @16%,INCLUSIVE,,,,,,,,
6161107220556,SUPER 250 G,22,PCS,132.44,153,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000613708,SUPER 150G,22,PCS,80.76,94,20,VAT @16%,INCLUSIVE,,,,,,,,
6162400124619,HANDWASH 250ML,22,PCS,80,96,20,VAT @16%,INCLUSIVE,,,,,,,,
6162400124411,M.BRAID SPRAY 120ML,22,PCS,100,116,20,VAT @16%,INCLUSIVE,,,,,,,,
6162400124428,M.BRAID SPRAY 50ML,22,PCS,50,58,20,VAT @16%,INCLUSIVE,,,,,,,,
6162400124664,VITILIZER 100G,22,PCS,90,108,20,VAT @16%,INCLUSIVE,,,,,,,,
6161107220112,SEXY 50G,22,PCS,57.68,67,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000613050,BABY JELLY 250G,22,PCS,160,192,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000613678,TREATMENT 150G,22,PCS,85,93,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000613401,RADIANCE ANTS 90G,22,PCS,130,156,20,VAT @16%,INCLUSIVE,,,,,,,,
6162400124190,RADIANCE ANTS 60G,22,PCS,75,95,20,VAT @16%,INCLUSIVE,,,,,,,,
6161107220211,COLDWARE 160G,22,PCS,86.8,100,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000613036,BABY JELLY 60G,22,PCS,90,108,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000823343,BABY POWDER 50G,22,PCS,30,35,20,VAT @16%,INCLUSIVE,,,,,,,,
6161107220280,CURL ACTIVATOR 140G,22,PCS,65.72,76,20,VAT @16%,INCLUSIVE,,,,,,,,
6161107220358,CURL ACTIVATOR 80G,22,PCS,28.45,33,20,VAT @16%,INCLUSIVE,,,,,,,,
6161107220341,CURL ACTIVATOR 360G,22,PCS,117.1,140,20,VAT @16%,INCLUSIVE,,,,,,,,
6161107220242,STYLING GEL 150G,22,PCS,80.76,95,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000613685,BLOWOUT 150G,22,PCS,80.82,95,20,VAT @16%,INCLUSIVE,,,,,,,,
6161107221096,HERBAL JELLY 70G,22,PCS,85,100,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000613425,HAIR FOOD 120G,22,PCS,65,78,20,VAT @16%,INCLUSIVE,,,,,,,,
6164000613418,HAIR FOOD 70G,22,PCS,46.45,55,20,VAT @16%,INCLUSIVE,,,,,,,,
6161107220761,MOVIT DYE 30ML,22,PCS,110,130,20,VAT @16%,INCLUSIVE,,,,,,,,
6162400124442,JUNIOR JELLY 90G,22,PCS,55,66,20,VAT @16%,INCLUSIVE,,,,,,,,
6942644317493,SUBARU SPLEDID RED,22,PCS,45,55,20,VAT @16%,INCLUSIVE,,,,,,,,
6942644317530,SUBARU BRIGHT GOLD,22,PCS,45,55,20,VAT @16%,INCLUSIVE,,,,,,,,
6942644317509,SUBARU LIGHT COPPER BROWN,22,PCS,45,55,20,VAT @16%,INCLUSIVE,,,,,,,,
6942644302338,SUBARU GRAPE PURPLE,22,PCS,45,55,20,VAT @16%,INCLUSIVE,,,,,,,,
6942644317516,SUBARU GRAPE RED,22,PCS,45,55,20,VAT @16%,INCLUSIVE,,,,,,,,
6942644317479,SUBARU WINE RED,22,PCS,45,55,20,VAT @16%,INCLUSIVE,,,,,,,,
6943634981533,SASSY WASH 1KG,22,PCS,1800,1800,20,VAT @16%,INCLUSIVE,,,,,,,,
6943634982547,SASSY WASH 500G,22,PCS,2040,2040,20,VAT @16%,INCLUSIVE,,,,,,,,
6943634982554,SASSY WASH 100G,22,PCS,1020,1020,20,VAT @16%,INCLUSIVE,,,,,,,,
