Code,1100450318,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6009619870022 ,QUENCHER ORANGE 1 LTR,22,PACK ,107,125,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6009619870039 ,QUENCHER ORANGE 1 .5 LTR,22,PACK ,152,180,,VATABLE,INCLUSIVE,DRINK,,,,,,,
61603028,RIBENA BLACK CURRENT 250ML,22,PACK ,55,65,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6164000242595 ,BELLA JUMBO ROLL,22,PACK ,74,95,,VATABLE,INCLUSIVE,DRINK,,,,,,,
5034624200015 ,BOX FILE KARTASI,22,PACK ,120,150,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6001087357258 ,VASELINE INTENSIVE CARE 200ML,22,PC,160,210,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6161100601284 ,LADY GAY LOTION 120ML,22,PC,64,70,,VATABLE,INCLUSIVE,DRINK,,,,,,,
5449000139030 ,PLASTIC KREST SODA 500 ML,22,PC,48,55,,VATABLE,INCLUSIVE,DRINK,,,,,,,
40822938 ,PLASTIC FANTA ORANGE SODA 500 ML,22,PC,48,55,,VATABLE,INCLUSIVE,DRINK,,,,,,,
54493353 ,PLASTIC FANTA PASSION SODA 500 ML,22,PC,48,55,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6008686411350 ,AQUAFRESH 25ML,22,PC,37,45,,VATABLE,INCLUSIVE,DRINK,,,,,,,
54491472 ,PLASTIC COCACOLA 500ML,22,PC,48,55,,VATABLE,INCLUSIVE,DRINK,,,,,,,
50112753 ,PLASTIC FANTA B/CURRENT SODA 500 ML,22,PC,48,55,,VATABLE,INCLUSIVE,DRINK,,,,,,,
90490279 ,MINUTE MAID MANGO 400ML,22,PC,,,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6008155006858 ,WOW RINGS SALTED 10 GMS,22,PC,3.7,7,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6008155002140 ,WOW RINGS SUGERED 12 GMS,22,PC,3.7,7,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6161106961771 ,MILO 200GMS,22,PC,388.1166667,430,,VATABLE,INCLUSIVE,DRINK,,,,,,,
5449000000286 ,PLASTIC COCACOLA 2 LTR,22,PC,133,150,,VATABLE,INCLUSIVE,DRINK,,,,,,,
5449000004864 ,PLASTIC SODA SPRITE  2 LTR,22,PC,133,150,,VATABLE,INCLUSIVE,DRINK,,,,,,,
5449000137456 ,PLASTIC FANTA PINEAPLE SODA1.25LTR,22,PC,81,99,,VATABLE,INCLUSIVE,DRINK,,,,,,,
5449000028976 ,PLASTIC SPRITE SODA1.25LTR,22,PC,81,99,,VATABLE,INCLUSIVE,DRINK,,,,,,,
87303322 ,DASANI 500ML,22,PC,27,40,,VATABLE,INCLUSIVE,DRINK,,,,,,,
5449000098764 ,DASANI 1LTR,22,PC,54,70,,VATABLE,INCLUSIVE,DRINK,,,,,,,
6164001827746 ,SPARKLE 1 LTR,22,PC,20,35,,VATABLE,INCLUSIVE,DRINK,,,,,,,
5449000028938 ,PLASTIC FANTA ORANGE SODA1.25LTR,22,PC,81,99,,VATABLE,INCLUSIVE,DRINK,,,,,,,
