Code,1100450318,Category Code,Unit, Cost ,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6164004583199 ,Pilau Masala Ground 50G Jar,22,PC,75.19,85, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583205 ,Pilau Masala Ground 100G Jar,22,PC,146.61,161, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583236 ,Ginger Ground  50g Jar,22,PC,80.04,90, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583243 ,Ginger Ground  100g Jar,22,PC,119.48,130, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583427 ,Paprika 50G Jar,22,PC,63.8,70, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583434 ,Paprika 100G Jar,22,PC,120.3,135, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583304 ,Tea Masala 50G jar,22,PC,85,95, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583311 ,Tea Masala 100G jar,22,PC,150.8,166, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583120 ,Cardamons Ground 50Gms Jar,22,PC,179.8,205, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583137 ,Cardamons Ground 100Gms Jar,22,PC,307.4,345, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583571 ,Fish Masala 50G Jar,22,PC,39.44,50, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583588 ,Fish Masala 100G Jar,22,PC,81.2,90, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583335 ,Mixed Spices 50G Jar,22,PC,69.6,80, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583342 ,Mixed Spices 100G Jar,22,PC,139.2,155, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583540 ,Chicken Masala 50G,22,PC,39.44,45, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583557 ,Chicken Masala 100G,22,PC,81.2,90, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583885 ,Cinnamon Ground 50G,22,PC,63.8,70, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583892 ,Cinnamon Ground 100G,22,PC,127.6,140, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583601 ,Tumeric Ground 50G,22,PC,56.39,65, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583618 ,Tumeric Ground 100G,22,PC,105.26,116, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583632 ,Curry Powder 50G,22,PC,44.08,50, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583649 ,Curry Powder 100G,22,PC,81.2,90, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583397 ,White Pepper ground 50G,22,PC,210.54,235, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583403 ,White Pepper ground 100G,22,PC,371.2,410, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583687 ,Rosemarry Leaves 20G Jar,22,PC,52.2,60, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583267 ,Garam Masala 50G Jar,22,PC,81.97,90, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583274 ,Garam Masala 100G Jar,22,PC,141.52,156, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583069 ,Garlic Powder 50G,22,PC,86.47,95, 3 ,16%,INCLUSIVE,Spices,,,,,,,
6164004583076 ,Garlic Powder 100G,22,PC,139.2,185, 3 ,16%,INCLUSIVE,Spices,,,,,,,
