Code,1100450318,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6009610390215,Olive Oil Ideal 50Ml,22,PC,100,120,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6164000066320,Olive Oil Ideal 200Ml,22,PC,330,396,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6933362460066,Soysouce Dark 623Ml,22,PC,230,260,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6933362460080,Soy Source Dark 150Ml,22,PC,100,110,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6933362460011,Soysouce Light 623Ml,22,PC,210,230,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6933362460035,Soy Source Light 150Ml,22,PC,89.99916667,107.999,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6161100911727,Tropical Heat Citric Acid 50G,22,PC,40,48,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6161100911734,Tropical Heat Citric Acid 100G,22,PC,67.5,75,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
60078698,Johnsons Baby oil 50Ml,22,PC,135,150,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6001011411650,Johnsons Baby oil 125Ml,22,PC,250,280,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
60052360,Johnsons Baby Jelly pink 100Ml,22,PC,107.5,129,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
60052377,Johnsons Baby Jelly Perfumed 100Ml,22,PC,107.5,129,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6001011832325,Johnson Baby Soap Regular 100gms,22,PC,65,78,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6001011316030,Johnson Baby Soap oil 100gms,22,PC,65,78,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6001012316008,Johnson Baby Soap lotion 100gms,22,PC,65,78,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6003001009106,Johnson Baby Soap aloe 100gms,22,PC,65,78,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6009636440956,Icing Sugar Kenafric 500Gms,22,PC,100,110,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6008677001553,Baking Powderclovers 90 Gms,22,PC,16.66666667,20,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6164000066443,Coconut Tropical Scent free 65Ml,22,PC,70,84,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
6008677000150,Bicarbonate of Soda,22,PC,18.75,23,,VAT@16%,INCLUSIVE,ELECTRONICS,,,,,,,
