Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6009610256306,BIC BALL PEN FINE POINT BLUE,22,PIECE,16,20,20,VAT @16% ,INCLUSIVE, SC1,,,,,,,
6161101890533,SIFA TOILET PAPER TWIN PACK,22,UNWRAP,20,25,,VAT @16% ,INCLUSIVE,,,,,,,,
61602212,KIWI SHOE POLISH BLACK 15 ML,22,TIN,38,50,,VAT @16% ,INCLUSIVE,,,,,,,,
6161108970030,KIWI SHOE POLISH BLACK 40 ML,22,TIN,88,100,,VAT @16% ,INCLUSIVE,,,,,,,,
89686120660,INDOMIE CHICKEN FLAVOUR 120G,22,WRAP,25,30,,VAT @16% ,INCLUSIVE,,,,,,,,
89686120073,INDOMIE CHICKEN FLAVOUR 70G,22,WRAP,17,25,,VAT @16% ,INCLUSIVE,,,,,,,,
6161102170023,SOKO MAIXE MEAL 2KG,22,PACK,86,90,,VAT @16% ,INCLUSIVE,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
