Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
5411416046622,CAN BEBE LOWCOUNT 1/STD 14pCS,22,Pcs,187.00012,205,20,VAT @16%,INCLUSIVE,,,,,,,,
5411416046684,CAN BEBE LOWCOUNT 2/STD 12 Pcs,22,Pcs,187.00012,205,20,VAT @16%,INCLUSIVE,,,,,,,,
5411416046769,CAN BEBE LOWCOUNT 3/STD 11 pcs,22,Pcs,187.00012,205,20,VAT @16%,INCLUSIVE,,,,,,,,
5411416047001,CAN BEBE LOWCOUNT 5/STD 8 pcs,22,Pcs,187.00012,205,20,VAT @16%,INCLUSIVE,,,,,,,,
5411416046882,CAN BEBE LOWCOUNT 4/STD 10pcs,22,Pcs,187.00012,205,20,VAT @16%,INCLUSIVE,,,,,,,,
5411416046707,NEW CANBEBE HIGHCOUNT 2/Sup,22,Pcs,807.4992,920,20,VAT @16%,INCLUSIVE,,,,,,,,
5411416046783,NEW CANBEBE HIGHCOUNT 3/Sup,22,Pcs,807.4992,920,20,VAT @16%,INCLUSIVE,,,,,,,,
5411416047025,NEW CANBEBE HIGHCOUNT 5/Sup,22,Pcs,807.4992,920,20,VAT @16%,INCLUSIVE,,,,,,,,
8690742150143,NEW CANBEBE JUMBO 2/ADV MINI,22,Pcs,1317.499,1500,20,VAT @16%,INCLUSIVE,,,,,,,,
5411416046820,NEW CANBEBE JUMBO 3/ADV MIDI,22,Pcs,1317.499,1500,20,VAT @16%,INCLUSIVE,,,,,,,,
8690742100643,NEW CANBEBE JUMBO 4/ADV MIDI,22,Pcs,1317.499,1500,20,VAT @16%,INCLUSIVE,,,,,,,,
5411416047063,NEW CANBEBE JUMBO 5/ADV MIDI,22,Pcs,1317.499,1500,20,VAT @16%,INCLUSIVE,,,,,,,,
5411416044932,BANBEBE PANTS MAX 6*24,22,Pcs,612.0005333,710,20,VAT @16%,INCLUSIVE,,,,,,,,
5411416044956,BANBEBE PANTS JUNIOR 6*24,22,Pcs,612.0005333,710,20,VAT @16%,INCLUSIVE,,,,,,,,
8690742400026,CANBEBEWETWIPE 64 PCS,22,Pcs,161.49955,180,20,VAT @16%,INCLUSIVE,,,,,,,,
8690742400194,CANBEBEWETWIPE 64 PCS SENSITIVE,22,Pcs,186.9997333,210,20,VAT @16%,INCLUSIVE,,,,,,,,
6161102031041,BEEF SMOOKIES 900GMS,22,Pcs,275.86,330,20,VAT @16%,INCLUSIVE,,,,,,,,
