Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
AS1,BASINS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS2,BATHROOM MIRRORS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS3,BED CLEAR PAPERS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS4,BED NETS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS5,BEDS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS6,BIG ROUND TABLE COVERS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS7,BIG WALL MIRRORS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS8,BLACK AND BROWN ZEBRA TOPS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS9,BLACK AND WHITE ZEBRA TABLE COVER ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS10,BLACK AND WHITE ZEBRA TOPS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS11,BLACK SOFAS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS12,BLACK/BROWN ZEBRA SKIRTINGS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS13,BLANKETS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS14,BLINDERS (black material) ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS15,BLINDERS (black plastic paper) ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS16,BLUE CHAIR COVERS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS17,BLUE CRATE COVERS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS18,BLUE NAPKINS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS19,BLUE SKIRTINGS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS20,BLUE TABLE TOPS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS21,BROWN  GOVERNOR CURTAINS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS22,BROWN BLINDERS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS23,BROWN DARK RIBBONS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS24,BROWN EXECUTIVE MATTS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS25,BROWN METALLIC CHAIRS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS26,BROWN NET CURTAINS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS27,BROWN PILLAR NETS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS28,BROWN SKIRTINGS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS29,BROWN TABLE MATTS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS30,BROWN ZEBRA SKIRTINGS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS31,BROWN ZEBRA TOPS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
