Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
GEN1,DUST MASK ,26,pkt,0.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN2,20 LTRS KERINGET BOTTLES ,26,pkt,"1,000.00 ",0 ,2,No Tax,exclusive,,,,,,,,
GEN3,ALLUMINIUM FOIL PER PC ,26,pkt,510.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN4,ARROW ROOTS PER BUNCH ,26,pkt,100.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN5,BACON ,26,pkt,0.00 ,200 ,2,No Tax,exclusive,,,,,,,,
GEN6,BACON PER KG ,26,pkt,"1,090.00 ",0 ,2,No Tax,exclusive,,,,,,,,
GEN7,BAKED BEANS PER TIN ,26,pkt,501.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN8,BAKING POWDER PER PKT ,26,pkt,21.17 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN9,BANANAS PER PC ,26,pkt,10.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN10,BASIL PER TIN ,26,pkt,0.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN11,BAY LEAVES PER TIN ,26,pkt,77.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN12,BEANS PER KG ,26,pkt,100.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN13,BEEF CUBES PER PKT ,26,pkt,520.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN14,BEEF FILLET PER KG ,26,pkt,519.38 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN15,BEEF STEAK PER KG ,26,pkt,420.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN16,BI-CARBONATE PER PKT ,26,pkt,19.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN17,BIRO PER PKT ,26,pkt,150.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN18,BITRUIT PER PC ,26,pkt,20.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN19,BLACK PEPPER PER TIN ,26,pkt,150.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN20,BLUE BAND PER TIN ,26,pkt,320.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN21,BONE MEAT PER KG ,26,pkt,340.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN22,BREADS PER PC ,26,pkt,89.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN23,BROCCOLI PER KG ,26,pkt,100.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN24,BROOM PER KG ,26,pkt,38.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN25,BROWN BAGS PER PC ,26,pkt,2.36 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN26,BROWN BGAS PER DOZEN ,26,pkt,198.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN27,BUNS PER PC ,26,pkt,0.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN28,BURGER BUNS PER PKT ,26,pkt,50.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN29,CABBAGE PER PC ,26,pkt,50.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN30,CAKE PER PC ,26,pkt,94.00 ,80 ,2,No Tax,exclusive,,,,,,,,
GEN31,CARROTS PER KG ,26,pkt,70.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN32,CELLERY PER BN ,26,pkt,150.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN33,CHARCOALS PER BAG ,26,pkt,"1,100.00 ",0 ,2,No Tax,exclusive,,,,,,,,
GEN34,CHEESE CHADDER ,26,pkt,0.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN35,CHEESE PROOF PEPPER PR PC ,26,pkt,0.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN36,CHEFS HAT PER PC ,26,pkt,55.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN37,CHICKEN KIENYEJI ,26,pkt,750.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN38,CHILLI SAUCE ,26,pkt,499.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN39,CHIPOLATAS PER PKT ,26,pkt,159.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN40,CHOCOLATE PER TIN ,26,pkt,"1,250.00 ",0 ,2,No Tax,exclusive,,,,,,,,
GEN41,CHOMA SAUSAGE PER PACKET ,26,pkt,575.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN42,CINNAMON PER TIN ,26,pkt,165.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN43,COCKTAIL JUICE ,26,pkt,0.00 ,200 ,2,No Tax,exclusive,,,,,,,,
GEN44,COCONUT MILK ,26,pkt,195.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN45,COOKIES PER PKT ,26,pkt,0.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN46,CORN  FLOUR PER PKT ,26,pkt,85.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN47,CORN FLAKES PER BOX ,26,pkt,402.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN48,CORRIANDER PER TIN ,26,pkt,49.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN49,COVER CHARGE(LABOUR) ,26,pkt,0.00 ,"1,000 ",2,No Tax,exclusive,,,,,,,,
