Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2 ,Custom Field 3 ,Custom Field 4 ,Custom Field 5,Custom Field 6
1,Allsopps 500ML,A,Bottles,220,220,2, No Tax, exclusive,BE,,,,,,,
2,Balozi 500ML,A,Bottles,250,250,2, No Tax, exclusive,BE,,,,,,,
3,Guinness  500ML,A,Bottles,250,250,2, No Tax, exclusive,BE,,,,,,,
6,Guinness Smooth 500ML,A,Bottles,250,250,2, No Tax, exclusive,BE,,,,,,,
8,Pilsner CAN 500ML,A,Cans,260,260,2, No Tax, exclusive,CN,,,,,,,
9,Sikera CIDER 300ml,A,Bottles,220,220,2, No Tax, exclusive,BE,,,,,,,
10,Tusker Lager 500ml,A,Bottles,250,250,2, No Tax, exclusive,BE,,,,,,,
12,Tusker Cider 500ml,A,Bottles,250,250,2, No Tax, exclusive,BE,,,,,,,
13,Tusker Lite 330ML,A,Bottles,250,250,2, No Tax, exclusive,BE,,,,,,,
14,Tusker Malt Lager 330ml,A,Bottles,250,250,2, No Tax, exclusive,BE,,,,,,,
15,Whitecap 500ML,A,Bottles,250,250,2, No Tax, exclusive,BE,,,,,,,
16,Whitecap Light 300ML,A,Bottles,240,240,2, No Tax, exclusive,BE,,,,,,,
17,Heineken 330ML,A,Bottles,250,250,2, No Tax, exclusive,BE,,,,,,,
18,Savana 330ML,A,Bottles,250,250,2, No Tax, exclusive,BE,,,,,,,
19,Faxe 500ML,A,Cans,280,280,2, No Tax, exclusive,CN,,,,,,,
20,Balozi can 500ML,A,Bottles,260,260,2, No Tax, exclusive,BE,,,,,,,
21,Guinness Cans 500ML,A,Cans,280,280,2, No Tax, exclusive,CN,,,,,,,
22,Guinness Smooth Cans 500ML,A,Cans,260,260,2, No Tax, exclusive,CN,,,,,,,
23,Hop House 13 can 500ML,A,Bottles,250,250,2, No Tax, exclusive,BE,,,,,,,
25,Sikera CIDER CANS 330ml,A,Cans,250,250,2, No Tax, exclusive,CN,,,,,,,
26,Tusker Cans 500ML,A,Cans,260,260,2, No Tax, exclusive,CN,,,,,,,
28,Tusker Cider Can 500ML,A,Cans,260,260,2, No Tax, exclusive,CN,,,,,,,
29,Tusker Lite Can 500ML,A,Cans,260,260,2, No Tax, exclusive,CN,,,,,,,
30,Tusker Malt Lager Can 500ML,A,Cans,260,260,2, No Tax, exclusive,CN,,,,,,,
31,WHITE CAP CAN 500ML,A,Cans,260,260,2, No Tax, exclusive,CN,,,,,,,
32,Heineken Can 500ML,A,Cans,300,300,2, No Tax, exclusive,CN,,,,,,,
34,Alvaro Can,N,Cans,150,150,2, No Tax, exclusive,SO,,,,,,,
35,Gilbeys Gin 350ml,A,Bottles,1000,1000,2, No Tax, exclusive,GI,,,,,,,
36,Gilbeys Gin 750ml,A,Bottles,1800,1800,2, No Tax, exclusive,GI,,,,,,,
40,Gordons Dry Gin,A,Bottles,2200,2200,2, No Tax, exclusive,GI,,,,,,,
41,Tanqueray Dry Gin 750,A,Bottles,4000,4000,2, No Tax, exclusive,GI,,,,,,,
42,Tanqueray 10 750ml,A,Bottles,6000,6000,2, No Tax, exclusive,GI,,,,,,,
44,Tanqueray sevilla 700ml,A,Bottles,4000,4000,2, No Tax, exclusive,GI,,,,,,,
45,Chrome Gin 750ml,A,Bottles,0,0,2, No Tax, exclusive,GI,,,,,,,
46,Richot Brandy 350ml,A,Bottles,1000,1000,2, No Tax, exclusive,BR,,,,,,,
47,Richot Brandy 750ml,A,Bottles,2200,2200,2, No Tax, exclusive,BR,,,,,,,
48,Smirnoff Red Vodka 350ml,A,Bottles,1000,1000,2, No Tax, exclusive,VO,,,,,,,
49,Smirnoff Citrus 700ml,A,Bottles,3000,3000,2, No Tax, exclusive,VO,,,,,,,
50,Smirnoff Orange 700ml,A,Bottles,3000,3000,2, No Tax, exclusive,VO,,,,,,,
51,Smirnoff Espresso 700ml,A,Bottles,3000,3000,2, No Tax, exclusive,VO,,,,,,,
52,Smirnoff Gold Liq 700ml,A,Bottles,3000,3000,2, No Tax, exclusive,VO,,,,,,,
53,Smirnoff Vanilla 700ml,A,Bottles,3000,3000,2, No Tax, exclusive,VO,,,,,,,
55,Smirnoff red   Vodka 750ml,A,Bottles,2200,2200,2, No Tax, exclusive,VO,,,,,,,
63,Bond 7 Whisky 350ml,A,Bottles,900,900,2, No Tax, exclusive,WS,,,,,,,
64,VAT 69 375ml,A,Bottles,1200,1200,2, No Tax, exclusive,WS,,,,,,,
65,J&B HONEY 700ml,A,Bottles,4000,4000,2, No Tax, exclusive,WS,,,,,,,
66,Bond 7 Whisky 750ml,A,Bottles,2000,2000,2, No Tax, exclusive,WS,,,,,,,
69,J&B RARE 750ml,A,Bottles,2500,2500,2, No Tax, exclusive,WS,,,,,,,
70,JW Red Label 750ml,A,Bottles,2500,2500,2, No Tax, exclusive,WS,,,,,,,
73,JW Red Label 1ltr,A,Bottles,3200,3200,2, No Tax, exclusive,WS,,,,,,,
74,JW Red Label Cradle 3ltr,A,Bottles,13000,13000,2, No Tax, exclusive,WS,,,,,,,
75,JW Red Label 4.5ltr,A,Bottles,17000,17000,2, No Tax, exclusive,WS,,,,,,,
76,JW Black Label 750 ml,A,Bottles,4500,4500,2, No Tax, exclusive,WS,,,,,,,
77,JW double Black 750ml,A,Bottles,8000,8000,2, No Tax, exclusive,WS,,,,,,,
78,JW White Walker 750ml,A,Bottles,4500,4500,2, No Tax, exclusive,WS,,,,,,,
79,JW Song of Ice 750ml,A,Bottles,4500,4500,2, No Tax, exclusive,WS,,,,,,,
80,JW Song of Fire 750ml,A,Bottles,4500,4500,2, No Tax, exclusive,WS,,,,,,,
81,JW Blue Label 750ml,A,Bottles,35000,35000,2, No Tax, exclusive,WS,,,,,,,
82,JW Black Label 1ltr,A,Bottles,5600,5600,2, No Tax, exclusive,WS,,,,,,,
88,JW Black Label Cradle 3ltr,A,Bottles,22000,22000,2, No Tax, exclusive,WS,,,,,,,
90,CAPTAIN Morgan GOLD 750ml,A,Bottles,1600,1600,2, No Tax, exclusive,RU,,,,,,,
92,CAPTAIN MORGAN JAM RUM 750ml,A,Bottles,2800,2800,2, No Tax, exclusive,RU,,,,,,,
93,CAPTAIN MORGAN SPICED GOLD 750ml,A,Bottles,3200,3200,2, No Tax, exclusive,RU,,,,,,,
95,V&A 750ml,A,Bottles,1200,1200,2, No Tax, exclusive,WI,,,,,,,
96,BAILEYS DELIGHT 750ml,A,Bottles,2000,2000,2, No Tax, exclusive,CR,,,,,,,
97,BAILEYS ORIGINAL 750ml,A,Bottles,3500,3500,2, No Tax, exclusive,CR,,,,,,,
99,Kenya Cane 750ml,A,Bottles,1200,1200,2, No Tax, exclusive,SP,,,,,,,
100,Chrome Vodka 750ml,A,Bottles,1200,1200,2, No Tax, exclusive,VO,,,,,,,
101,Bulleit Bourbon 700ml,A,Bottles,6000,6000,2, No Tax, exclusive,BU,,,,,,,
102,Caol Ila MOCH 750ml,A,Bottles,9000,9000,2, No Tax, exclusive,WS,,,,,,,
103,CAOLILA MOCH 700ml,A,Bottles,9000,9000,2, No Tax, exclusive,WS,,,,,,,
104,Cardhu 12 yr 750ml,A,Bottles,7500,7500,2, No Tax, exclusive,WS,,,,,,,
105,Ciroc 750ml,A,Bottles,6400,6400,2, No Tax, exclusive,VO,,,,,,,
107,Ciroc 3ltrs,A,Bottles,24000,24000,2, No Tax, exclusive,VO,,,,,,,
108,Ciroc Pineapple 750ml,A,Bottles,6400,6400,2, No Tax, exclusive,VO,,,,,,,
109,Ciroc Red Berry 700ml,A,Bottles,6400,6400,2, No Tax, exclusive,VO,,,,,,,
110,Ciroc Coconut 700ml,A,Bottles,6400,6400,2, No Tax, exclusive,VO,,,,,,,
111,Clynelish 14 yr 700ml,A,Bottles,10500,10500,2, No Tax, exclusive,WS,,,,,,,
112,Cragganmore 12 yr 750ml,A,Bottles,8000,8000,2, No Tax, exclusive,WS,,,,,,,
114,Dalwhinnie 15 yr 750ml,A,Bottles,9500,9500,2, No Tax, exclusive,WS,,,,,,,
116,Dimple 15 yr 750ml,A,Bottles,7800,7800,2, No Tax, exclusive,WS,,,,,,,
118,Don Julio Anejo 750ml,A,Bottles,12000,12000,2, No Tax, exclusive,TQ,,,,,,,
119,Don Julio Blanco 750ml,A,Bottles,8800,8800,2, No Tax, exclusive,TQ,,,,,,,
120,Don Julio Reposado 750ml,A,Bottles,8800,8800,2, No Tax, exclusive,TQ,,,,,,,
121,Glenfiddich 12 Yr 1liter,A,Bottles,8500,8500,2, No Tax, exclusive,WS,,,,,,,
122,J Wlkr Gold  18 yrs 750ml,A,Bottles,11000,11000,2, No Tax, exclusive,WS,,,,,,,
123,J Wlkr Gold Reserve (18Y) 1ltr,A,Bottles,11500,11500,2, No Tax, exclusive,WS,,,,,,,
124,Jw Green 750ml,A,Bottles,9500,9500,2, No Tax, exclusive,WS,,,,,,,
125,JW GREEN 750ml,A,Bottles,9500,9500,2, No Tax, exclusive,WS,,,,,,,
126,JW Platinum 750ml,A,Bottles,13500,13500,2, No Tax, exclusive,WS,,,,,,,
128,JW&Sons Odyssey 750ml,A,Bottles,240000,240000,2, No Tax, exclusive,WS,,,,,,,
129,Ketel One 750ml,A,Bottles,4400,4400,2, No Tax, exclusive,VO,,,,,,,
131,Ketel One Citrn 750ml,A,Bottles,4400,4400,2, No Tax, exclusive,VO,,,,,,,
132,King George IV 700ml,A,Bottles,2000,2000,2, No Tax, exclusive,WS,,,,,,,
133,Lagavulin 16 750ml,A,Bottles,14000,14000,2, No Tax, exclusive,WS,,,,,,,
134,Oban 14 750ml,A,Bottles,11000,11000,2, No Tax, exclusive,WS,,,,,,,
136,Singleton of Dufftown (12 yr) 700ml,A,Bottles,6500,6500,2, No Tax, exclusive,WS,,,,,,,
137,Singleton of Dufftown (15 yr) 700ml,A,Bottles,9500,9500,2, No Tax, exclusive,WS,,,,,,,
138,Singleton of Dufftown (18Yr) 700ml,A,Bottles,10500,10500,2, No Tax, exclusive,WS,,,,,,,
