Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6.16E+12,EXE FORTIFIED CHAPATI FLOUR 2KG,FLOUR,PACKET,,,20,VAT @ 16%,INCLUSIVE,WHEAT,Red|Blue|Black|White,CF1,CF2,CF3,CF4,CF5,CF6
,SAHYUN HAND WASHING SOAP,SOAPS AND DETERGENTS,PACKET,140,,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6.16E+12,PEP MANGO DRINK 1 LTR,JUICES AND BEVERAGES,BOTTLE,105,,5,VAT @ 16%,INCLUSIVE,JUICES,,,,,,,
6.16E+12,PEP MANGO DRINK 2 LTR,JUICES AND BEVERAGES,BOTTLE,220,,5,VAT @ 16%,INCLUSIVE,JUICES,,,,,,,
6.01E+12,QUENCHER PINEAPPLE FLAVOURED DRINK 1 LTR,JUICES AND BEVERAGES,BOTTLE,107,,,VAT @ 16%,INCLUSIVE,JUICES,,,,,,,
6.16E+12,NESTLE MILO 400G,JUICES AND BEVERAGES,TIN,512,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6.164E+12,LATEST COTTON SWABS,TISSUE,PACK ,,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6.01E+12,FAMILA PURE WIMBI 1 KG,FLOUR,PACKET,,,,VAT @ 16%,INCLUSIVE,WHEAT,,,,,,,
6.16E+12,GEISHA LONG LASTIN SOAP 225G,SOAPS AND DETERGENTS,PACKET,,,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6.16E+12,FAMILA PURE WIMBI 500 G,FLOUR,PACKET,,,,VAT @ 16%,INCLUSIVE,WHEAT,,,,,,,
6.16E+12,NESCAFE CLASSIC 1.6 G,JUICES AND BEVERAGES,PACK,6,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6.16E+12,KENSALT IODATED SALT 1 KG,,PACK,23.25,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,KENSALT IODATED SALT 500 G,,PACK,11.75,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,DOVE COTTON WOOL 200 G,TISSUE,PACK,96,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6.16E+12,BELLA WHITE TISSUE JUMBO ROLL,TISSUE,PACK,74,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6.16E+12,TOILEX WHITE TOILET ROLL 4-ROLLS PACK,TISSUE,PACK,75.5,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6.16E+12,BOUNCY BABY DIAPERS NO. 5 JUNIORS,BABY,PACK,,,,VAT @ 16%,INCLUSIVE,BABY,,,,,,,
6.16E+12,RAHA DRINKING CHOCOLATE 50G,JUICES AND BEVERAGES,PACK,25.4,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6.16E+12,RAHA DRINKING CHOCOLATE 20G,JUICES AND BEVERAGES,PACK,7.9,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6.16E+12,RAHA DRINKING CHOCOLATE 200G,JUICES AND BEVERAGES,JAR,148,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6.16E+12,RAHA DRINKING CHOCOLATE 400G,JUICES AND BEVERAGES,JAR,260,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6.16E+12,RAHA DRINKING CHOCOLATE 100G,JUICES AND BEVERAGES,JAR,83,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6.16E+12,NESTLE MILO 100G,JUICES AND BEVERAGES,PACK,172.5,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6.16E+12,LUCOZADE ENERGY 300 ML,JUICES AND BEVERAGES,TIN,153,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6.16E+12,KIWI SHOE POLISH DARK TAN 100 ML,SHOE POLISH,TIN,150,,,VAT @ 16%,INCLUSIVE,SHOE POLISH,,,,,,,
7.89E+12,NESCAFE CLASSIC 50 G,JUICES AND BEVERAGES,JAR,440,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
7.90E+12,NESCAFE CLASSIC 100 G,JUICES AND BEVERAGES,JAR,,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6.16E+12,TROPICAL HEAT GINGER SPICE 45 G,SPICES,JAR,73.3,,,VAT @ 16%,INCLUSIVE,SPICES,,,,,,,
6.16E+12,TROPICAL HEAT GARLIC POWDER SPICE 100 G,SPICES,JAR,159,,,VAT @ 16%,INCLUSIVE,SPICES,,,,,,,
6.16E+12,TROPICAL HEAT CINNAMON SPICE 100 G,SPICES,JAR,130.8,,,VAT @ 16%,INCLUSIVE,SPICES,,,,,,,
6.16E+12,TROPICAL HEAT GARAM MASALA 100 G,SPICES,JAR,159,,,VAT @ 16%,INCLUSIVE,SPICES,,,,,,,
6.16E+12,TROPICAL HEAT GARAM MASALA 50 G,SPICES,JAR,82,,,VAT @ 16%,INCLUSIVE,SPICES,,,,,,,
6.16E+12,TROPICAL HEAT CINNAMON SPICE 50 G,SPICES,JAR,69,,,VAT @ 16%,INCLUSIVE,SPICES,,,,,,,
6.16E+12,TROPICAL HEAT GARLIC POWDER SPICE 50 G,SPICES,JAR,98,,,VAT @ 16%,INCLUSIVE,SPICES,,,,,,,
6.16E+12,TROPICAL HEAT GINGER SPICE 100 G,SPICES,JAR,159,,,VAT @ 16%,INCLUSIVE,SPICES,,,,,,,
6.16E+12,KIWI SUEDE CLEANER 100 ML,SHOE POLISH,JAR,104,,,VAT @ 16%,INCLUSIVE,SHOE POLISH,,,,,,,
6.00E+12,STAR SOFT LAVENDER FRESH 200 ML,TOILET AND HAND WASH,JAR,66.25,,,VAT @ 16%,INCLUSIVE,TOILET CLEANER,,,,,,,
6.16E+12,DETTOL ANTI-BACTERIAL SOAP ORIGINAL 90 G,SOAPS AND DETERGENTS,PACK,84,,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6.16E+12,TOP FRY PURE VEGETABLE OIL 500 ML,COOKING OIL,CAN,99,,,VAT @ 16%,INCLUSIVE,COOKING OIL,,,,,,,
6.16E+12,TOP FRY PURE VEGETABLE OIL 1 LTR,COOKING OIL,CAN,183,,,VAT @ 16%,INCLUSIVE,COOKING OIL,,,,,,,
6.16E+12,NGARISHA SCOURING PAD,CLEANING,PACK,,,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
6.16E+12,KIWI SHOE POLISH BLACK 100 ML,SHOE POLISH,TIN,147,,,VAT @ 16%,INCLUSIVE,SHOE POLISH,,,,,,,
6.01E+12,PEP ORANGE DRINK 2 LTR,JUICES AND BEVERAGES,BOTTLE,221,,,VAT @ 16%,INCLUSIVE,JUICES,,,,,,,
6.01E+12,AQUAFRESH TOOTH PASTE 25 ML,TOOTH PASTE,TUBE,37.4,,,VAT @ 16%,INCLUSIVE,TOOTH PASTE,,,,,,,
6.16E+12,JIK BLEACH REGULAR 70 ML,TOILET AND HAND WASH,BOTTLE,17,,,VAT @ 16%,INCLUSIVE,BLEACH,,,,,,,
6.16E+12,FLORA ULTRA PADS,SANITARY,PACK,,,,VAT @ 16%,INCLUSIVE,PADS,,,,,,,
7.62E+12,CADBURY COCOA 20 G,JUICES AND BEVERAGES,SATCHET,21.3,,,VAT @ 16%,INCLUSIVE,BEVERAGES,,,,,,,
6.16E+12,         ALL TIME CONFIDENCE PADS,SANITARY,PACK,41,,,VAT @ 16%,INCLUSIVE,PADS,,,,,,,
6.01E+12,VELVEX COTTON WOOL 50 G,COTTON,PACK,29,,,VAT @ 16%,INCLUSIVE,COTTON,,,,,,,
8.93E+12,CLOSE UP DEEP ACTION 125 G,TOOTH PASTE,TUBE,143,,,VAT @ 16%,INCLUSIVE,TOOTH PASTE,,,,,,,
6.16E+12,HARPIC POWER PLUS 500 ML,TOILET AND HAND WASH,BOTTLE,232,,,VAT @ 16%,INCLUSIVE,TOILET CLEANER,,,,,,,
6.16E+12,TOP FRY PURE VEGETABLE OIL 5 LTRS,COOKING OIL,CAN,759,,,VAT @ 16%,INCLUSIVE,COOKING OIL,,,,,,,
4.02E+12,ALWAYS MAXI THICK,SANITARY,PACK,,,,VAT @ 16%,INCLUSIVE,PADS,,,,,,,
6.16E+12,TENA POCKET TISSUES WHITE,TISSUE,PACK,,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6.16E+12,KRACKLES BAR-B-QUE 150 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
6.16E+12,KRACKLES TINGLY CHEESE 150 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
6.16E+12,KRACKLES PERFECTLY SALTED 150 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
